customer  number  arrive at  serve at  leave at  wait time  serve time  teller
------------------------------------------------------------------------------
1         1       3          3         81        0          78          1     
2         2       18         18        91        0          73          3     
3         3       19         19        109       0          90          2     
4         4       35         35        89        0          54          4     
5         5       43         43        114       0          71          5     
6         6       51         81        208       30         127         1     
7         7       71         89        202       18         113         4     
8         8       92         92        229       0          137         3     
9         9       98         109       159       11         50          2     
10        10      106        114       235       8          121         5     
11        11      107        159       219       52         60          2     
12        12      117        202       307       85         105         4     
13        13      163        208       277       45         69          1     
14        14      176        219       283       43         64          2     
15        15      198        229       301       31         72          3     
16        16      201        235       308       34         73          5     
17        17      217        277       331       60         54          1     
18        18      227        283       414       56         131         2     
19        19      231        301       411       70         110         3     
20        20      250        307       420       57         113         4     
21        21      256        308       444       52         136         5     
22        22      269        331       439       62         108         1     
23        23      272        411       510       139        99          3     
24        24      273        414       514       141        100         2     
25        25      296        420       517       124        97          4     
26        26      302        439       520       137        81          1     
27        27      306        444       495       138        51          5     
28        28      314        495       601       181        106         5     
29        29      320        510       595       190        85          3     
30        30      327        514       596       187        82          2     
31        31      331        517       650       186        133         4     
32        32      333        520       607       187        87          1     
33        33      336        595       701       259        106         3     
34        34      362        596       671       234        75          2     
35        35      386        601       677       215        76          5     
36        36      394        607       750       213        143         1     
37        37      406        650       762       244        112         4     
38        38      418        671       803       253        132         2     
39        39      419        677       728       258        51          5     
40        40      420        701       753       281        52          3     
41        41      456        728       793       272        65          5     
42        42      463        750       806       287        56          1     
43        43      479        753       849       274        96          3     
44        44      491        762       818       271        56          4     
45        45      516        793       911       277        118         5     
46        46      521        803       862       282        59          2     
47        47      534        806       890       272        84          1     
48        48      595        818       953       223        135         4     
49        49      602        849       907       247        58          3     
50        50      609        862       1009      253        147         2     
51        51      617        891       1004      274        113         1     
52        52      631        907       969       276        62          3     
53        53      637        911       1018      274        107         5     
54        54      648        953       1084      305        131         4     
55        55      667        969       1058      302        89          3     
56        56      668        1004      1143      336        139         1     
57        57      688        1009      1139      321        130         2     
58        58      695        1018      1159      323        141         5     
59        59      701        1058      1157      357        99          3     
60        60      707        1084      1216      377        132         4     
61        61      708        1139      1237      431        98          2     
62        62      712        1143      1286      431        143         1     
63        63      715        1157      1233      442        76          3     
64        64      721        1159      1286      438        127         5     
65        65      721        1216      1304      495        88          4     
66        66      724        1233      1297      509        64          3     
67        67      730        1237      1355      507        118         2     
68        68      738        1286      1400      548        114         5     
69        69      762        1286      1405      524        119         1     
70        70      773        1297      1409      524        112         3     
71        71      776        1304      1445      528        141         4     
72        72      778        1355      1441      577        86          2     
73        73      786        1400      1465      614        65          5     
74        74      789        1405      1523      616        118         1     
75        75      800        1409      1493      609        84          3     
76        76      820        1441      1553      621        112         2     
77        77      838        1445      1528      607        83          4     
78        78      839        1465      1548      626        83          5     
79        79      847        1493      1598      646        105         3     
80        80      860        1523      1646      663        123         1     
81        81      869        1528      1591      659        63          4     
82        82      880        1549      1643      669        94          5     
83        83      882        1553      1624      671        71          2     
84        84      884        1591      1695      707        104         4     
85        85      894        1598      1675      704        77          3     
86        86      897        1624      1705      727        81          2     
87        87      899        1643      1736      744        93          5     
88        88      911        1646      1780      735        134         1     
89        89      916        1675      1738      759        63          3     
90        90      918        1695      1796      777        101         4     
91        91      926        1705      1802      779        97          2     
92        92      929        1736      1883      807        147         5     
93        93      933        1738      1885      805        147         3     
94        94      945        1780      1925      835        145         1     
95        95      946        1796      1859      850        63          4     
96        96      949        1802      1911      853        109         2     
97        97      965        1859      1911      894        52          4     
98        98      972        1883      2000      911        117         5     
99        99      976        1885      1956      909        71          3     
100       100     983        1911      1981      928        70          4     
