customer  number  arrive at  serve at  leave at  wait time  serve time  teller
------------------------------------------------------------------------------
1         1       3          3         81        0          78          5     
2         2       18         18        91        0          73          4     
3         3       19         19        109       0          90          1     
4         4       35         35        89        0          54          3     
5         5       43         43        114       0          71          2     
6         6       51         81        208       30         127         5     
7         7       71         89        202       18         113         3     
8         8       92         92        229       0          137         4     
9         9       98         109       159       11         50          1     
10        10      106        114       235       8          121         2     
11        11      107        159       219       52         60          1     
12        12      117        202       307       85         105         3     
13        13      163        208       277       45         69          5     
14        14      176        219       283       43         64          1     
15        15      198        229       301       31         72          4     
16        16      201        235       308       34         73          2     
17        17      217        277       331       60         54          5     
18        18      227        283       414       56         131         1     
19        19      231        301       411       70         110         4     
20        20      250        307       420       57         113         3     
21        21      256        308       444       52         136         2     
22        22      269        331       439       62         108         5     
23        23      272        411       510       139        99          4     
24        24      273        414       513       141        99          1     
25        25      296        420       517       124        97          3     
26        26      302        439       520       137        81          5     
27        27      306        444       495       138        51          2     
28        28      314        495       601       181        106         2     
29        29      320        510       595       190        85          4     
30        30      327        513       595       186        82          1     
31        31      331        517       650       186        133         3     
32        32      333        520       607       187        87          5     
33        33      336        595       701       259        106         4     
34        34      362        595       670       233        75          1     
35        35      386        601       677       215        76          2     
36        36      394        607       750       213        143         5     
37        37      406        650       762       244        112         3     
38        38      418        670       802       252        132         1     
39        39      419        677       728       258        51          2     
40        40      420        701       752       281        51          4     
41        41      456        728       793       272        65          2     
42        42      463        750       806       287        56          5     
43        43      479        752       848       273        96          4     
44        44      491        762       818       271        56          3     
45        45      516        793       911       277        118         2     
46        46      521        802       861       281        59          1     
47        47      534        806       890       272        84          5     
48        48      595        818       953       223        135         3     
49        49      602        848       906       246        58          4     
50        50      609        861       1008      252        147         1     
51        51      617        891       1004      274        113         5     
52        52      631        906       969       275        63          4     
53        53      637        911       1019      274        108         2     
54        54      648        953       1084      305        131         3     
55        55      667        969       1058      302        89          4     
56        56      668        1004      1143      336        139         5     
57        57      688        1008      1138      320        130         1     
58        58      695        1019      1159      324        140         2     
59        59      701        1058      1157      357        99          4     
60        60      707        1084      1216      377        132         3     
61        61      708        1138      1237      430        99          1     
62        62      712        1143      1286      431        143         5     
63        63      715        1157      1233      442        76          4     
64        64      721        1159      1286      438        127         2     
65        65      721        1216      1304      495        88          3     
66        66      724        1234      1298      510        64          4     
67        67      730        1237      1354      507        117         1     
68        68      738        1286      1400      548        114         2     
69        69      762        1286      1405      524        119         5     
70        70      773        1298      1410      525        112         4     
71        71      776        1304      1445      528        141         3     
72        72      778        1354      1440      576        86          1     
73        73      786        1400      1465      614        65          2     
74        74      789        1405      1523      616        118         5     
75        75      800        1410      1493      610        83          4     
76        76      820        1440      1552      620        112         1     
77        77      838        1445      1528      607        83          3     
78        78      839        1465      1549      626        84          2     
79        79      847        1493      1598      646        105         4     
80        80      860        1523      1646      663        123         5     
81        81      869        1528      1591      659        63          3     
82        82      880        1549      1643      669        94          2     
83        83      882        1552      1623      670        71          1     
84        84      884        1590      1695      706        105         3     
85        85      894        1598      1675      704        77          4     
86        86      897        1623      1704      726        81          1     
87        87      899        1643      1737      744        94          2     
88        88      911        1646      1779      735        133         5     
89        89      916        1675      1738      759        63          4     
90        90      918        1695      1796      777        101         3     
91        91      926        1704      1802      778        98          1     
92        92      929        1737      1884      808        147         2     
93        93      933        1738      1885      805        147         4     
94        94      945        1779      1924      834        145         5     
95        95      946        1796      1858      850        62          3     
96        96      949        1802      1910      853        108         1     
97        97      965        1858      1909      893        51          3     
98        98      972        1884      2001      912        117         2     
99        99      976        1885      1957      909        72          4     
100       100     983        1909      1979      926        70          3     
