customer  number  begin at  end at  serve time
----------------------------------------------
teller 1
1         1       3         81      78       
6         6       81        208     127      
13        13      208       277     69       
17        17      277       331     54       
22        22      331       439     108      
26        26      439       520     81       
32        32      520       607     87       
36        36      607       750     143      
42        42      750       806     56       
47        47      806       890     84       
51        51      891       1004    113      
56        56      1004      1143    139      
62        62      1143      1286    143      
69        69      1286      1405    119      
74        74      1405      1523    118      
80        80      1523      1646    123      
88        88      1646      1780    134      
94        94      1780      1925    145      

teller 2
3         3       19        109     90       
9         9       109       159     50       
11        11      159       219     60       
14        14      219       283     64       
18        18      283       414     131      
24        24      414       514     100      
30        30      514       596     82       
34        34      596       671     75       
38        38      671       803     132      
46        46      803       862     59       
50        50      862       1009    147      
57        57      1009      1139    130      
61        61      1139      1237    98       
67        67      1237      1355    118      
72        72      1355      1441    86       
76        76      1441      1553    112      
83        83      1553      1624    71       
86        86      1624      1705    81       
91        91      1705      1802    97       
96        96      1802      1911    109      

teller 3
2         2       18        91      73       
8         8       92        229     137      
15        15      229       301     72       
19        19      301       411     110      
23        23      411       510     99       
29        29      510       595     85       
33        33      595       701     106      
40        40      701       753     52       
43        43      753       849     96       
49        49      849       907     58       
52        52      907       969     62       
55        55      969       1058    89       
59        59      1058      1157    99       
63        63      1157      1233    76       
66        66      1233      1297    64       
70        70      1297      1409    112      
75        75      1409      1493    84       
79        79      1493      1598    105      
85        85      1598      1675    77       
89        89      1675      1738    63       
93        93      1738      1885    147      
99        99      1885      1956    71       

teller 4
4         4       35        89      54       
7         7       89        202     113      
12        12      202       307     105      
20        20      307       420     113      
25        25      420       517     97       
31        31      517       650     133      
37        37      650       762     112      
44        44      762       818     56       
48        48      818       953     135      
54        54      953       1084    131      
60        60      1084      1216    132      
65        65      1216      1304    88       
71        71      1304      1445    141      
77        77      1445      1528    83       
81        81      1528      1591    63       
84        84      1591      1695    104      
90        90      1695      1796    101      
95        95      1796      1859    63       
97        97      1859      1911    52       
100       100     1911      1981    70       

teller 5
5         5       43        114     71       
10        10      114       235     121      
16        16      235       308     73       
21        21      308       444     136      
27        27      444       495     51       
28        28      495       601     106      
35        35      601       677     76       
39        39      677       728     51       
41        41      728       793     65       
45        45      793       911     118      
53        53      911       1018    107      
58        58      1018      1159    141      
64        64      1159      1286    127      
68        68      1286      1400    114      
73        73      1400      1465    65       
78        78      1465      1548    83       
82        82      1549      1643    94       
87        87      1643      1736    93       
92        92      1736      1883    147      
98        98      1883      2000    117      

